,Brite,Definition,Ensembl,Entry,KO,Module,Motif,Other DBs,Pathway,Gene_ID,Protein_ID,UniProt
1050,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03008 Ribosome biogenesis in eukaryotes  CHLREDRAFT_127930 (NOP58) Ribosome biogenesis [BR:cre03009] ?Eukaryotic Type  Sno RNPs  Box C/D snoRNPs  CHLREDRAFT_127930 (NOP58),"(RefSeq) nucleolar protein, component of C/D snoRNPs",CHLREDRAFT_127930,CHLREDRAFT_127930?CDS T01039,K14565 nucleolar protein 58,,Pfam:?Nop NOP5NT Zea_mays_MuDR,NCBI-GeneID:?5715998NCBI-ProteinID:?XP_001690352JGI:?127930UniProt:?A8IID0,cre03008 Ribosome biogenesis in eukaryotes,5715998,XP_001690352,A8IID0
1051,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03008 Ribosome biogenesis in eukaryotes  CHLREDRAFT_127955 Ribosome biogenesis [BR:cre03009] ?Eukaryotic Type  90S particles  U3 small nucleolar RNA-associated proteins  CHLREDRAFT_127955,(RefSeq) hypothetical protein,CHLREDRAFT_127955,CHLREDRAFT_127955?CDS T01039,K14556 U3 small nucleolar RNA-associated protein 12,,Pfam:?WD40 Utp12 ANAPC4_WD40 Nup160 AP3D1,NCBI-GeneID:?5715972NCBI-ProteinID:?XP_001690562JGI:?127955UniProt:?A8IIS1,cre03008 Ribosome biogenesis in eukaryotes,5715972,XP_001690562,A8IIS1
1052,"Chaperones and folding catalysts [BR:cre03110] ?Heat shock proteins  HSP60 / Chaperonin  CHLREDRAFT_127976 (CCT1) Chromosome [BR:cre03036] ?Eukaryotic Type  Centrosome formation and ciliogenesis proteins  BBS-CCT complex  CHLREDRAFT_127976 (CCT1) Exosome [BR:cre04147] ?Exosomal proteins  Exosomal proteins of haemopoietic cells (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)  CHLREDRAFT_127976 (CCT1)  Exosomal proteins of colorectal cancer cells  CHLREDRAFT_127976 (CCT1)  Exosomal proteins of bladder cancer cells  CHLREDRAFT_127976 (CCT1)","(RefSeq) T-complex protein 1, alpha subunit",CHLREDRAFT_127976,CHLREDRAFT_127976?CDS T01039,K09493 T-complex protein 1 subunit alpha,,Pfam:?Cpn60_TCP1,NCBI-GeneID:?5716082NCBI-ProteinID:?XP_001690556JGI:?127976UniProt:?A8IIP9,,5716082,XP_001690556,A8IIP9
1053,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Glycan biosynthesis and metabolism  00510 N-Glycan biosynthesis  CHLREDRAFT_127991 (GTR25) ?Genetic Information Processing  Folding, sorting and degradation  04141 Protein processing in endoplasmic reticulum  CHLREDRAFT_127991 (GTR25) Enzymes [BR:cre01000] ?2. Transferases  2.4 Glycosyltransferases  2.4.99 Transferring other glycosyl groups  2.4.99.18 dolichyl-diphosphooligosaccharide---protein glycotransferase  CHLREDRAFT_127991 (GTR25) Glycosyltransferases [BR:cre01003] ?N-Glycan biosynthesis  N-linked oligosaccharide  CHLREDRAFT_127991 (GTR25)",(RefSeq) oligsaccharyl transferase STT3 subunit,CHLREDRAFT_127991,CHLREDRAFT_127991?CDS T01039,K07151 dolichyl-diphosphooligosaccharide--protein glycosyltransferase [EC:2.4.99.18],cre_M00072 N-glycosylation by oligosaccharyltransferase,Pfam:?STT3 PMT_2,NCBI-GeneID:?5716182NCBI-ProteinID:?XP_001690442JGI:?127991UniProt:?A8IH85,cre00510 N-Glycan biosynthesiscre01100 Metabolic pathwayscre04141 Protein processing in endoplasmic reticulum,5716182,XP_001690442,A8IH85
1054,,(RefSeq) hypothetical protein,CHLREDRAFT_127992,CHLREDRAFT_127992?CDS T01039,,,Pfam:?AAA_11 AAA_12 AAA_30 AAA_19 Viral_helicase1 DUF2075 AAA_22 AAA DEAD AAA_25 UvrD-helicase Helicase_RecD AAA_16 Zot T2SSE DnaB_C AAA_33 Glyco_tranf_2_3 PhoH RuvB_N IstB_IS21 ATPase,NCBI-GeneID:?5716031NCBI-ProteinID:?XP_001690342JGI:?127992UniProt:?A8II74,,5716031,XP_001690342,A8II74
1055,,(RefSeq) SF-assemblin,CHLREDRAFT_127995,CHLREDRAFT_127995?CDS T01039,,,Pfam:?SF-assemblin SHNi-TPR DUF4407 DUF2746 Baculo_gp64 DUF4795 Baculo_PEP_C,NCBI-GeneID:?5716135NCBI-ProteinID:?XP_001690415JGI:?127995UniProt:?Q39618 Q546J6,,5716135,XP_001690415,Q39618 Q546J6
1056,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Transcription  03040 Spliceosome  CHLREDRAFT_127996 (SPLH1) Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.4 Acting on acid anhydrides to facilitate cellular and subcellular movement  3.6.4.13 RNA helicase  CHLREDRAFT_127996 (SPLH1) Spliceosome [BR:cre03041] ?Complex C  Other components  Step II factors  CHLREDRAFT_127996 (SPLH1),(RefSeq) DEAH-box nuclear pre-mRNA splicing factor,CHLREDRAFT_127996,CHLREDRAFT_127996?CDS T01039,K12818 ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13],,Pfam:?OB_NTP_bind HA2 Helicase_C DEAD AAA_22 AAA_30 AAA_19 SRP54 ATPase T2SSE AAA_23 DUF2075 AAA_29 NACHT ABC_tran,NCBI-GeneID:?5716203NCBI-ProteinID:?XP_001690641JGI:?127996UniProt:?A8IHD9,cre03040 Spliceosome,5716203,XP_001690641,A8IHD9
1057,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  04141 Protein processing in endoplasmic reticulum  CHLREDRAFT_128004 (SKP1)  04120 Ubiquitin mediated proteolysis  CHLREDRAFT_128004 (SKP1) Ubiquitin system [BR:cre04121] ?Ubiquitin ligases (E3)  Multi subunit Ring-finger type E3  SCF complex  Adaptor protein  CHLREDRAFT_128004 (SKP1)  Cul7 complex  CHLREDRAFT_128004 (SKP1) Chromosome [BR:cre03036] ?Eukaryotic Type  Centromeric chromatin formation proteins  Kinetochore proteins  CBF3 complex  CHLREDRAFT_128004 (SKP1)  Centrosome formation and ciliogenesis proteins  Centrosome duplication proteins  Other centrosome duplication proteins  CHLREDRAFT_128004 (SKP1)",(RefSeq) E3 ubiquitin ligase,CHLREDRAFT_128004,CHLREDRAFT_128004?CDS T01039,K03094 S-phase kinase-associated protein 1,cre_M00387 SCF-FBW7 complex,Pfam:?Skp1 Skp1_POZ,NCBI-GeneID:?5716391NCBI-ProteinID:?XP_001690964JGI:?128004UniProt:?A8IJ79,cre04120 Ubiquitin mediated proteolysiscre04141 Protein processing in endoplasmic reticulum,5716391,XP_001690964,A8IJ79
1058,Membrane trafficking [BR:cre04131] ?Endoplasmic reticulum (ER) - Golgi transport  Forward pathways  Rab associated proteins  CHLREDRAFT_128005  Retrieval pathways  CHLREDRAFT_128005,(RefSeq) RabGAP/TBC protein,CHLREDRAFT_128005,CHLREDRAFT_128005?CDS T01039,K20360 TBC1 domain family member 2,,Pfam:?RabGAP-TBC,NCBI-GeneID:?5716626NCBI-ProteinID:?XP_001690894JGI:?128005UniProt:?A8IL38,,5716626,XP_001690894,A8IL38
1059,,(RefSeq) RNA-binding S4 domain-containing protein,CHLREDRAFT_128015,CHLREDRAFT_128015?CDS T01039,,,Pfam:?S4,NCBI-GeneID:?5716418NCBI-ProteinID:?XP_001690978JGI:?128015UniProt:?A8IJH5,,5716418,XP_001690978,A8IJH5
1060,Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.4 Acting on acid anhydrides to facilitate cellular and subcellular movement  3.6.4.12 DNA helicase  CHLREDRAFT_128016 DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  DSBR (double strand breaks repair)  HR (homologous recombination)  RecQ family DNA helicases  CHLREDRAFT_128016,(RefSeq) hypothetical protein,CHLREDRAFT_128016,CHLREDRAFT_128016?CDS T01039,K10899 ATP-dependent DNA helicase Q1 [EC:3.6.4.12],,Pfam:?DEAD Helicase_C RecQ_Zn_bind Chorion_2 ResIII,NCBI-GeneID:?5716410NCBI-ProteinID:?XP_001690973JGI:?128016UniProt:?A8IJE8,,5716410,XP_001690973,A8IJE8
1061,,(RefSeq) cysteine desulfurase,CHLREDRAFT_128032,CHLREDRAFT_128032?CDS T01039,,,Pfam:?Aminotran_5 Cys_Met_Meta_PP,NCBI-GeneID:?5716365NCBI-ProteinID:?XP_001690769JGI:?128032UniProt:?A8IIX9,,5716365,XP_001690769,A8IIX9
1062,Transfer RNA biogenesis [BR:cre03016] ?Eukaryotic Type  tRNA modification factors  Methyltransferases  CHLREDRAFT_128082 Translation factors [BR:cre03012] ?Eukaryotic Type  Release factors  CHLREDRAFT_128082,(RefSeq) hypothetical protein,CHLREDRAFT_128082,CHLREDRAFT_128082?CDS T01039,K15448 multifunctional methyltransferase subunit TRM112,,Pfam:?Trm112p Swi3,NCBI-GeneID:?5716606NCBI-ProteinID:?XP_001691077JGI:?128082UniProt:?A8IKY9,,5716606,XP_001691077,A8IKY9
1063,Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.3 Acting on acid anhydrides to catalyse transmembrane movement of substances  3.6.3.8 Ca2+-transporting ATPase  CHLREDRAFT_128099 (ACA2),(RefSeq) plasma membrane calcium ATPase,CHLREDRAFT_128099,CHLREDRAFT_128099?CDS T01039,K01537 Ca2+-transporting ATPase [EC:3.6.3.8],,Pfam:?Cation_ATPase_C E1-E2_ATPase Hydrolase Cation_ATPase_N Cation_ATPase Hydrolase_3 HAD,NCBI-GeneID:?5716463NCBI-ProteinID:?XP_001690816JGI:?128099UniProt:?A8IJV9,,5716463,XP_001690816,A8IJV9
1064,,(RefSeq) flagellar associated protein,CHLREDRAFT_128114,CHLREDRAFT_128114?CDS T01039,,,Pfam:?WD40 ANAPC4_WD40,NCBI-GeneID:?5716690NCBI-ProteinID:?XP_001690930JGI:?128114UniProt:?A8ILK1,,5716690,XP_001690930,A8ILK1
1065,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03015 mRNA surveillance pathway  CHLREDRAFT_128192 Messenger RNA biogenesis [BR:cre03019] ?Eukaryotic Type  mRNA processing factors  3' end processing  Cleavage and polyadenylation specificity factor (CPSF) complex  CHLREDRAFT_128192,(RefSeq) hypothetical protein,CHLREDRAFT_128192,CHLREDRAFT_128192?CDS T01039,K14402 cleavage and polyadenylation specificity factor subunit 2,,Pfam:?Lactamase_B_6 Beta-Casp Lactamase_B Lactamase_B_2,NCBI-GeneID:?5716649NCBI-ProteinID:?XP_001691095JGI:?128192UniProt:?A8IL96,cre03015 mRNA surveillance pathway,5716649,XP_001691095,A8IL96
1066,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Nucleotide metabolism  00240 Pyrimidine metabolism  CHLREDRAFT_128227 (CMPS1)  Amino acid metabolism  00250 Alanine, aspartate and glutamate metabolism  CHLREDRAFT_128227 (CMPS1) Enzymes [BR:cre01000] ?6. Ligases  6.3 Forming carbon-nitrogen bonds  6.3.5 Carbon-nitrogen ligases with glutamine as amido-N-donor  6.3.5.5 carbamoyl-phosphate synthase (glutamine-hydrolysing)  CHLREDRAFT_128227 (CMPS1)","(RefSeq) carbamoyl phosphate synthase, small subunit",CHLREDRAFT_128227,CHLREDRAFT_128227?CDS T01039,K01956 carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],,Pfam:?CPSase_sm_chain GATase Peptidase_C26,NCBI-GeneID:?5716840NCBI-ProteinID:?XP_001691359JGI:?128227UniProt:?A8IMN5,"cre00240 Pyrimidine metabolismcre00250 Alanine, aspartate and glutamate metabolismcre01100 Metabolic pathways",5716840,XP_001691359,A8IMN5
1067,,(RefSeq) hypothetical protein,CHLREDRAFT_128250,CHLREDRAFT_128250?CDS T01039,K07297 adiponectin receptor,,Pfam:?HlyIII,NCBI-GeneID:?5716919NCBI-ProteinID:?XP_001691252JGI:?128250UniProt:?A8INA8,,5716919,XP_001691252,A8INA8
1068,,(RefSeq) iron hydrogenase assembly protein,CHLREDRAFT_128256,CHLREDRAFT_128256?CDS T01039,,,Pfam:?MMR_HSR1 Radical_SAM Dynamin_N GTP_EFTU FeoB_N AAA_18 Virul_Fac Arf,NCBI-GeneID:?5717046NCBI-ProteinID:?XP_001691465JGI:?128256UniProt:?Q6PSL5,,5717046,XP_001691465,Q6PSL5
1069,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Amino acid metabolism  00280 Valine, leucine and isoleucine degradation  CHLREDRAFT_128289 Enzymes [BR:cre01000] ?1. Oxidoreductases  1.3 Acting on the CH-CH group of donors  1.3.8 With a flavin as acceptor  1.3.8.4 isovaleryl-CoA dehydrogenase  CHLREDRAFT_128289",(RefSeq) isovaleryl-CoA dehydrogenase,CHLREDRAFT_128289,CHLREDRAFT_128289?CDS T01039,K00253 isovaleryl-CoA dehydrogenase [EC:1.3.8.4],,Pfam:?Acyl-CoA_dh_1 Acyl-CoA_dh_N Acyl-CoA_dh_M Acyl-CoA_dh_2,NCBI-GeneID:?5717052NCBI-ProteinID:?XP_001691322JGI:?128289UniProt:?A8IPE0,"cre00280 Valine, leucine and isoleucine degradationcre01100 Metabolic pathways",5717052,XP_001691322,A8IPE0
1070,Enzymes [BR:cre01000] ?2. Transferases  2.1 Transferring one-carbon groups  2.1.1 Methyltransferases  2.1.1.62 mRNA (2'-O-methyladenosine-N6-)-methyltransferase  CHLREDRAFT_128290 Messenger RNA biogenesis [BR:cre03019] ?Eukaryotic Type  mRNA processing factors  Other processing factors  CHLREDRAFT_128290,(RefSeq) hypothetical protein,CHLREDRAFT_128290,CHLREDRAFT_128290?CDS T01039,K05925 mRNA (2'-O-methyladenosine-N6-)-methyltransferase [EC:2.1.1.62],,Pfam:?MT-A70,NCBI-GeneID:?5717067NCBI-ProteinID:?XP_001691478JGI:?128290UniProt:?A8IPI0,,5717067,XP_001691478,A8IPI0
1071,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03013 RNA transport  CHLREDRAFT_128295 Spliceosome [BR:cre03041] ?Other splicing related proteins  Proteins involved in snRNP biogenesis  SMN complex factors  CHLREDRAFT_128295,(RefSeq) hypothetical protein,CHLREDRAFT_128295,CHLREDRAFT_128295?CDS T01039,K13137 serine-threonine kinase receptor-associated protein,,Pfam:?WD40,NCBI-GeneID:?5716942NCBI-ProteinID:?XP_001691265JGI:?128295UniProt:?A8INH7,cre03013 RNA transport,5716942,XP_001691265,A8INH7
1072,Enzymes [BR:cre01000] ?3. Hydrolases  3.4 Acting on peptide bonds (peptidases)  3.4.21 Serine endopeptidases  3.4.21.92 endopeptidase Clp  CHLREDRAFT_128308 (CLPR6) Peptidases [BR:cre01002] ?Serine Peptidases  Family S14: ClpP endopeptidase family  CHLREDRAFT_128308 (CLPR6),(RefSeq) inactive subunit of chloroplast ClpP complex,CHLREDRAFT_128308,CHLREDRAFT_128308?CDS T01039,"K01358 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",,Pfam:?CLP_protease,NCBI-GeneID:?5716994NCBI-ProteinID:?XP_001691441JGI:?128308UniProt:?A8INX1,,5716994,XP_001691441,A8INX1
1073,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03010 Ribosome  CHLREDRAFT_128309 (RPL36a) Ribosome [BR:cre03011] ?Ribosomal Proteins  Eukaryotes  Large subunit  CHLREDRAFT_128309 (RPL36a)  Archaea  CHLREDRAFT_128309 (RPL36a),"(RefSeq) ribosomal protein L36a, component of cytosolic 80S ribosome and 60S large subunit",CHLREDRAFT_128309,CHLREDRAFT_128309?CDS T01039,K02929 large subunit ribosomal protein L44e,"cre_M00177 Ribosome, eukaryotes",Pfam:?Ribosomal_L44 Rpr2 NOB1_Zn_bind Vanabin-2,NCBI-GeneID:?5716795NCBI-ProteinID:?XP_001691337JGI:?128309UniProt:?P49213 A8IM74,cre03010 Ribosome,5716795,XP_001691337,P49213 A8IM74
1074,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Overview  01200 Carbon metabolism  CHLREDRAFT_128310 (HPR1)  Carbohydrate metabolism  00630 Glyoxylate and dicarboxylate metabolism  CHLREDRAFT_128310 (HPR1)  Amino acid metabolism  00260 Glycine, serine and threonine metabolism  CHLREDRAFT_128310 (HPR1)",(RefSeq) hydroxypyruvate reductase,CHLREDRAFT_128310,CHLREDRAFT_128310?CDS T01039,K15893 hydroxypyruvate reductase 1,cre_M00532 Photorespiration,Pfam:?2-Hacid_dh_C 2-Hacid_dh AlaDh_PNT_C NAD_binding_2 NAD_binding_7 F420_oxidored Shikimate_DH,NCBI-GeneID:?5717070NCBI-ProteinID:?XP_001691480JGI:?128310UniProt:?A8IPI7,"cre00260 Glycine, serine and threonine metabolismcre00630 Glyoxylate and dicarboxylate metabolismcre01100 Metabolic pathwayscre01110 Biosynthesis of secondary metabolitescre01200 Carbon metabolism",5717070,XP_001691480,A8IPI7
1075,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Metabolism of cofactors and vitamins  00740 Riboflavin metabolism  CHLREDRAFT_128353 Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.1 Phosphotransferases with an alcohol group as acceptor  2.7.1.26 riboflavin kinase  CHLREDRAFT_128353 ?3. Hydrolases  3.1 Acting on ester bonds  3.1.3 Phosphoric-monoester hydrolases  3.1.3.102 FMN hydrolase  CHLREDRAFT_128353,(RefSeq) riboflavin kinase,CHLREDRAFT_128353,CHLREDRAFT_128353?CDS T01039,K20884 riboflavin kinase / FMN hydrolase [EC:2.7.1.26 3.1.3.102],"cre_M00125 Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD",Pfam:?Flavokinase HAD_2 Hydrolase Hydrolase_like HAD,NCBI-GeneID:?5716782NCBI-ProteinID:?XP_001691331JGI:?128353UniProt:?A8IM09,cre00740 Riboflavin metabolismcre01100 Metabolic pathwayscre01110 Biosynthesis of secondary metabolites,5716782,XP_001691331,A8IM09
1076,,(RefSeq) hypothetical protein,CHLREDRAFT_128371,CHLREDRAFT_128371?CDS T01039,,,Pfam:?Isochorismatase,NCBI-GeneID:?5717198NCBI-ProteinID:?XP_001691710JGI:?128371UniProt:?A8IRB7,,5717198,XP_001691710,A8IRB7
1077,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  03050 Proteasome  CHLREDRAFT_128384 (POA1) Enzymes [BR:cre01000] ?3. Hydrolases  3.4 Acting on peptide bonds (peptidases)  3.4.25 Threonine endopeptidases  3.4.25.1 proteasome endopeptidase complex  CHLREDRAFT_128384 (POA1) Peptidases [BR:cre01002] ?Threonine Peptidases  Family T1: proteasome family  CHLREDRAFT_128384 (POA1) Proteasome [BR:cre03051] ?Eukaryotic proteasome  Core particles (20S proteasome)  alpha type subunits  CHLREDRAFT_128384 (POA1)",(RefSeq) 20S proteasome alpha subunit A,CHLREDRAFT_128384,CHLREDRAFT_128384?CDS T01039,K02730 20S proteasome subunit alpha 1 [EC:3.4.25.1],"cre_M00340 Proteasome, 20S core particle",Pfam:?Proteasome Proteasome_A_N,NCBI-GeneID:?5717219NCBI-ProteinID:?XP_001691723JGI:?128384UniProt:?A8IRE2,cre03050 Proteasome,5717219,XP_001691723,A8IRE2
1078,,(RefSeq) manganese transport protein,CHLREDRAFT_128400,CHLREDRAFT_128400?CDS T01039,,,Pfam:?Nramp,NCBI-GeneID:?5717186NCBI-ProteinID:?XP_001691702JGI:?128400UniProt:?Q8LKG7,,5717186,XP_001691702,Q8LKG7
1079,,(RefSeq) PsaB RNA binding protein,CHLREDRAFT_128415,CHLREDRAFT_128415?CDS T01039,,,Pfam:?DUF1092,NCBI-GeneID:?5717279NCBI-ProteinID:?XP_001691593JGI:?128415UniProt:?Q7X8Y6,,5717279,XP_001691593,Q7X8Y6
1080,Ribosome biogenesis [BR:cre03009] ?Eukaryotic Type  Pre-60S particles  Other pre-60S particles  CHLREDRAFT_128420,(RefSeq) hypothetical protein,CHLREDRAFT_128420,CHLREDRAFT_128420?CDS T01039,K14863 ribosome biogenesis protein YTM1,,Pfam:?WD40 NLE,NCBI-GeneID:?5717141NCBI-ProteinID:?XP_001691679JGI:?128420UniProt:?A8IR43,,5717141,XP_001691679,A8IR43
1081,Translation factors [BR:cre03012] ?Eukaryotic Type  Initiation factors  eIF-3  CHLREDRAFT_128430,(RefSeq) hypothetical protein,CHLREDRAFT_128430,CHLREDRAFT_128430?CDS T01039,K15029 translation initiation factor 3 subunit L,,Pfam:?Paf67 RPAP1_N,NCBI-GeneID:?5717366NCBI-ProteinID:?XP_001691635JGI:?128430UniProt:?A8IQV5,,5717366,XP_001691635,A8IQV5
1082,Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.11 Protein-serine/threonine kinases  2.7.11.1 non-specific serine/threonine protein kinase  CHLREDRAFT_128451 (CDPK1) Protein kinases [BR:cre01001] ?Serine/threonine protein kinases: CAMK group  CDPK family  CHLREDRAFT_128451 (CDPK1),(RefSeq) calcium-dependent protein kinase 1,CHLREDRAFT_128451,CHLREDRAFT_128451?CDS T01039,K13412 calcium-dependent protein kinase [EC:2.7.11.1],,Pfam:?Pkinase Pkinase_Tyr EF-hand_1 EF-hand_7 EF-hand_6 EF-hand_5 EF-hand_8 C2 Kinase-like EF-hand_11 EF-hand_4 EF-hand_9 Kdo Arg_repressor,NCBI-GeneID:?5717229NCBI-ProteinID:?XP_001691570JGI:?128451UniProt:?A8IPQ9,,5717229,XP_001691570,A8IPQ9
1083,,(RefSeq) hypothetical protein,CHLREDRAFT_128454,CHLREDRAFT_128454?CDS T01039,,,Pfam:?Peptidase_C97 LRAT Transferrin,NCBI-GeneID:?5717355NCBI-ProteinID:?XP_001691631JGI:?128454UniProt:?A8IQU0,,5717355,XP_001691631,A8IQU0
1084,,(RefSeq) acetate kinase,CHLREDRAFT_128476,CHLREDRAFT_128476?CDS T01039,,,Pfam:?Acetate_kinase,NCBI-GeneID:?5717146NCBI-ProteinID:?XP_001691682JGI:?128476UniProt:?A8IR49,,5717146,XP_001691682,A8IR49
1085,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03013 RNA transport  CHLREDRAFT_128522 (RAN1)  03008 Ribosome biogenesis in eukaryotes  CHLREDRAFT_128522 (RAN1) Messenger RNA biogenesis [BR:cre03019] ?Eukaryotic Type  mRNA surveillance and transport factors  Transport factors  Ran-mediated transport factors  CHLREDRAFT_128522 (RAN1) Ribosome biogenesis [BR:cre03009] ?Eukaryotic Type  Pre-40S particles  Export and cytoplasmic maturation factors  CHLREDRAFT_128522 (RAN1)  Pre-60S particles  CHLREDRAFT_128522 (RAN1) Transfer RNA biogenesis [BR:cre03016] ?Eukaryotic Type  tRNA transport factors  tRNA export factors  CHLREDRAFT_128522 (RAN1) Chromosome [BR:cre03036] ?Eukaryotic Type  Centrosome formation and ciliogenesis proteins  Centrosome duplication proteins  Regulators of centriole replication  CHLREDRAFT_128522 (RAN1)  Spindle formation proteins  CHLREDRAFT_128522 (RAN1) Exosome [BR:cre04147] ?Exosomal proteins  Exosomal proteins of haemopoietic cells (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)  CHLREDRAFT_128522 (RAN1) GTP-binding proteins [BR:cre04031] ?Small (Monomeric) G-proteins  Ran Family  Ran  CHLREDRAFT_128522 (RAN1)",(RefSeq) ran-like small GTPase,CHLREDRAFT_128522,CHLREDRAFT_128522?CDS T01039,K07936 GTP-binding nuclear protein Ran,,Pfam:?Ras Roc Arf RNA_helicase MMR_HSR1 Pox_A32 AAA_24 TsaE ATPase Gtr1_RagA ABC_tran,NCBI-GeneID:?5717533NCBI-ProteinID:?XP_001691878JGI:?128522UniProt:?A8IRX5,cre03008 Ribosome biogenesis in eukaryotescre03013 RNA transport,5717533,XP_001691878,A8IRX5
1086,Cytoskeleton proteins [BR:cre04812] ?Eukaryotic cytoskeleton proteins  Microtubules  Tubulin-binding proteins  Dyneins  CHLREDRAFT_128553 (ODA13),(RefSeq) flagellar outer dynein arm light chain 6,CHLREDRAFT_128553,CHLREDRAFT_128553?CDS T01039,K10418 dynein light chain LC8-type,,Pfam:?Dynein_light DHHA1 Dynactin DHOase,NCBI-GeneID:?5717469NCBI-ProteinID:?XP_001692012JGI:?128553UniProt:?Q39579 A8IRP4,,5717469,XP_001692012,Q39579 A8IRP4
1087,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Nucleotide metabolism  00240 Pyrimidine metabolism  CHLREDRAFT_128562 Enzymes [BR:cre01000] ?2. Transferases  2.7 Transferring phosphorus-containing groups  2.7.4 Phosphotransferases with a phosphate group as acceptor  2.7.4.9 dTMP kinase  CHLREDRAFT_128562,(RefSeq) thymidylate kinase,CHLREDRAFT_128562,CHLREDRAFT_128562?CDS T01039,K00943 dTMP kinase [EC:2.7.4.9],,Pfam:?Thymidylate_kin AAA_28 ADK,NCBI-GeneID:?5717528NCBI-ProteinID:?XP_001692045JGI:?128562UniProt:?A8IRW9,cre00240 Pyrimidine metabolismcre01100 Metabolic pathways,5717528,XP_001692045,A8IRW9
1088,,(RefSeq) 3-hydroxyacid dehydrogenase,CHLREDRAFT_128576,CHLREDRAFT_128576?CDS T01039,,,Pfam:?NAD_binding_2 NAD_binding_11 F420_oxidored Shikimate_DH 2-Hacid_dh_C OCD_Mu_crystall,NCBI-GeneID:?5717618NCBI-ProteinID:?XP_001692084JGI:?128576UniProt:?A8IS85,,5717618,XP_001692084,A8IS85
1089,Enzymes [BR:cre01000] ?3. Hydrolases  3.6 Acting on acid anhydrides  3.6.4 Acting on acid anhydrides to facilitate cellular and subcellular movement  3.6.4.13 RNA helicase  CHLREDRAFT_128577 Ribosome biogenesis [BR:cre03009] ?Eukaryotic Type  90S particles  Helicases  CHLREDRAFT_128577,(RefSeq) hypothetical protein,CHLREDRAFT_128577,CHLREDRAFT_128577?CDS T01039,K14778 ATP-dependent RNA helicase DDX49/DBP8 [EC:3.6.4.13],,Pfam:?DEAD Helicase_C ResIII,NCBI-GeneID:?5717599NCBI-ProteinID:?XP_001692074JGI:?128577UniProt:?A8IS61,,5717599,XP_001692074,A8IS61
1090,,(RefSeq) aldo/keto reductase,CHLREDRAFT_128621,CHLREDRAFT_128621?CDS T01039,,,Pfam:?Aldo_ket_red TAT_signal PsbQ,NCBI-GeneID:?5717622NCBI-ProteinID:?XP_001692086JGI:?128621UniProt:?A8IS90,,5717622,XP_001692086,A8IS90
1091,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Biosynthesis of other secondary metabolites  00960 Tropane, piperidine and pyridine alkaloid biosynthesis  CHLREDRAFT_128624 Enzymes [BR:cre01000] ?1. Oxidoreductases  1.1 Acting on the CH-OH group of donors  1.1.1 With NAD+ or NADP+ as acceptor  1.1.1.206 tropinone reductase I  CHLREDRAFT_128624",(RefSeq) hypothetical protein,CHLREDRAFT_128624,CHLREDRAFT_128624?CDS T01039,K08081 tropinone reductase I [EC:1.1.1.206],,Pfam:?adh_short_C2 adh_short KR Epimerase Phytoreo_P8,NCBI-GeneID:?5717568NCBI-ProteinID:?XP_001691899JGI:?128624UniProt:?A8IS20,"cre00960 Tropane, piperidine and pyridine alkaloid biosynthesiscre01100 Metabolic pathwayscre01110 Biosynthesis of secondary metabolites",5717568,XP_001691899,A8IS20
